Month Num,Month,BRANCH,"New Library Card Registrations, Adult (includes YA)","New Library Card Registrations, Juvenile",Gate Count,PC Reservations,WiFi - Unique Sessions,External Party Library Room Use,Total Branch Circulation,Hotspots Circulation,Curbside,ILL - Sent (Main ONLY),ILL - Received (Main ONLY),ICLs - Sent (MAIN ONLY),ICLs - Received (MAIN ONLY),Total Prints per Month,I2:  ONSITE Sessions 0-5,I3:   ONSITE Sessions 6-11,I4: ONSITE Sessions 12-18,I5:   ONSITE Sessions 19+,I6:  ONSITE Sessions GENERAL INTEREST,ONSITE Attendance 0-5,ONSITE Attendance 6-11,ONSITE Attendance 12-18,ONSITE Attendance 19+,ONSITE Attendance General Interest,OFFSITE Sessions 0-5,OFFSITE Sessions 6-11,OFFSITE Sessions 12-18,OFFSITE Sessions 19+,OFFSITE Sessions General Interest,OFFSITE Attendance 0-5,OFFSITE Attendance 6-11,OFFSITE Attendance 12-18,OFFSITE Attendance 19+,OFFSITE Attendance General Interest,VIRTUAL Sessions 0-5,VIRTUAL Sessions 6-11,VIRTUAL Sessions 12-18,VIRTUAL Sessions 19+,VIRTUAL Sessions General Interest,VIRTUAL Attendance 0-5,VIRTUAL Attendance 6-11,VIRTUAL Attendance 12-18,VIRTUAL Attendance 19+,VIRTUAL Attendance General Interest,I21: NUMBER OF OUTREACH ACTIVITIES Conducted,Outreach Attendance (YCL Internal),"I22: TOTAL # TAKE & MAKES and OTHER PASSIVE PROGRAM PARTICIPANTS
",I23: NUMBER OF STAFF TAKING TRAINING,I24: NUMBER OF HOURS STAFF ATTENDED TRAINING,1-on-1 Total for Month,Email Address,Year,Locker Circulation
10,October,OUTREACH/BOOKMOBILE,,24,944,,,,2263,4,,,,,,,4,,,,2,58,,,,45,,,,,,,,,,,,,,,,,,,,,,,445,,,7,,2024,
10,October,YCL (System Wide),,,,,,,,,,,,,,4118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024,
11,November,ROCK HILL,,139,12852,,,6,"13,708",92,20,4,76,,,,23,5,8,18,4,900,132,1719,162,70,,3,,,,,1645,,,,,,,,,,,,,,,,140,17,76.25,8,,2024,
11,November,CLOVER,,23,2039,180,,,"2,737",50,,,,,,,7,3,2,6,2,104,19,14,50,69,,,,,,,,,,,,,,,,,,,,,,,85,21,22,,,2024,
11,November,FORT MILL,,131,8773,515,,4,"16,009",23,5,,,,,,25,6,6,11,3,609,82,52,88,112,,,,,,,,,,,,,,,,,,,,,,,388,,,,,2024,
11,November,LAKE WYLIE,,41,2877,149,,7,"4,444",11,2,,,,,,7,5,2,8,1,122,44,5,60,8,,0,,,,,0,,,,,,,,,,,,,,,,349,14,85,4,,2024,
11,November,YORK,,44,3025,327,,3,"3,013",90,0,,,,,,10,2,1,8,,104,27,5,162,,,1,,,,,150,,,,,,,,,,,,,,,,0,5,75,1,,2024,
11,November,OUTREACH/BOOKMOBILE,,8,830,,,,"1,494",4,,,,,,,4,,,,,120,,,,,,,,,,,,,,,,,,,,,,,,,,,500,,,,,2024,
11,November,YCL (System Wide),,,,,,,,,,,,,,3895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024,
12,December,ROCK HILL,,124,12444,1383,,5,"12,565",120,13,2,78,,,,23,73,20,21,9,899,73,1402,175,216,,7,,,,,1308,,,,,,,,,,,,,,,,259,10,23,9,,2024,
12,December,CLOVER,,18,2011,,,,"2,324",50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024,
12,December,FORT MILL,,141,9136,541,,2,"15,494",25,5,,,,,,14,4,6,11,3,418,49,68,71,114,,,,,,,,,,,,,,,,,,,,,,,368,,,,,2024,
12,December,LAKE WYLIE,,52,3025,148,,9,"3,800",16,2,,,,,,7,4,2,5,0,127,43,5,41,0,,0,,,,,0,,,,,,,,,,,,,,,,301,1,8,8,,2024,
12,December,YORK,,30,2841,347,,2,"2,704",97,0,,,,,,9,3,1,7,,166,81,7,60,,,,,,,,,,,,,,,,,,,,,,,,70,5,10,0,,2024,
12,December,OUTREACH/BOOKMOBILE,,5,600,,,,"1,030",4,,,,,,,3,,,,,98,,,,,,,,,,,,,,,,,,,,,,,,,,,586,,,,,2024,
12,December,YCL (System Wide),,,,,,,,,,,,,,4415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024,
4,April,CLOVER,,112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,103
4,April,FORT MILL,,484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,721
4,April,LAKE WYLIE,,178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,182
4,April,ROCK HILL,,315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,268
4,April,YORK,,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,74
4,April,OUTREACH / BOOKMOBILE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,
4,April,ROCK HILL,218,,15340,2034,3639,4,15145,139,,6,116,2870,6318,563,22,6,15,29,6,890,277,162,292,156,,,,,,,,,,,,,,,,,,,,,,,12,14,22,8,,2025,
4,April,CLOVER,62,,2761,214,557,1,3132,59,,,,985,2044,163,8,2,2,1,3,85,21,6,4,30,,,,,,,,,,,,,,,,,,,,,,,1,4,25,0,,2025,
4,April,FORT MILL,203,,11742,781,1868,6,19642,28,,,,1762,6719,380,21,9,7,11,6,754,778,65,94,265,,,,,,,,,,,,,,,,,,,,,,,5,4,20,0,,2025,
4,April,LAKE WYLIE,64,,3868,188,857,10,4663,15,,,,1418,2758,107,4,4,2,12,2,40,20,9,100,11,,,,,,,,,,,,,,,,,,,,,,,9,1,25,5,,2025,
4,April,YORK,82,,3598,377,932,2,3804,112,,,,1341,2373,184,12,3,1,7,0,206,66,4,61,0,,,,,,,,,,,,,,,,,,,,,,,2,4,28,0,,2025,
4,April,OUTREACH / BOOKMOBILE,43,,905,,,,1647,4,,,,15,404,,1,0,0,2,0,25,0,0,16,0,,,,,,,,,,,,,,,,,,,,,,,21,2,8,0,,2025,
8,August,OUTREACH / BOOKMOBILE,19,20,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,20,,,,,,,,,,,,3,184,170,7,62,1,,2025,
8,August,YORK,60,118,3914,505,781,2,5939,92,0,,,,,1090,,,,3,,,,,25,,,,,,,,,,,,,,,,,,,,,,1,150,175,10,80,0,,2025,120
8,August,LAKE WYLIE,72,15,3764,167,524,12,5908,14,3,,,,,491,0,0,0,7,2,0,0,0,56,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,847,10,88.5,6,,2025,327
8,August,CLOVER,38,4,2694,223,419,2,5121,66,0,,,,,1146,0,1,3,3,0,0,11,17,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,229,6,36.5,0,,2025,94
8,August,FORT MILL,213,43,10805,709,1621,3,19906,33,6,,,,,1958,,,1,17,1,,,30,114,80,,,,,,,,,,,,,,,,,,,,,,,988,17,104,,,2025,828
8,August,ROCK HILL,199,57,15257,199,3482,13,171619,123,42,5,139,9611,23150,1714,0,0,5,20,0,0,0,43,175,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,5,35,0,0,0,385,39,221,4,,2025,409
12,December,LAKE WYLIE,41,15,3342,169,561,17,4560,30,1,,,,,,4,2,2,9,0,38,42,21,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,879,2,5,3,rae.lovvorn@yclibrary.org,2025,214
12,December,YORK,43,9,4352,429,867,21,7039,120,0,,,,,1236,10,2,1,8,1,201,39,6,63,16,,,,,,,,,,,,,,,,,,,,,,,313,,,,jennifer.stanley@yclibrary.org,2025,116
12,December,FORT MILL,181,50,11975,778,1679,7,36502,74,5,,,,,2312,24,4,6,13,5,739,67,65,109,202,,,,,,,,,,,,,,,,,,,,,,,2016,1,1,,tom.holloway@yclibrary.org,2025,639
12,December,OUTREACH / BOOKMOBILE,7,2,792,,2,,1256,2,,,,,,,,,,,,,,,,,3,,,3,,105,,,70,,,,,,,,,,,,,,295,7,135.5,3,jennifer.strokis@yclibrary.org,2025,
12,December,FORT MILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,11,,martin.house@yclibrary.org,2025,
12,December,ROCK HILL,2,19,0,0,0,0,38,0,0,0,75,1825,5333,0,0,0,0,0,0,0,0,0,0,0,20,3,13,8,4,500,74,367,71,121,0,0,0,2,0,0,0,0,43,0,,,133,27,134.25,0,amanda.antonacci@yclibrary.org,2025,0
2,February,CLOVER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,72
2,February,FORT MILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,503
2,February,LAKE WYLIE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,158
2,February,ROCK HILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,238
2,February,YORK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,40
2,February,OUTREACH / BOOKMOBILE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,
2,February,ROCK HILL,218,,13867,1859,2360,6,14107,136,,2,92,2747,5962,596,28,5,12,29,1,940,123,131,143,51,,,,,,,,,,,,,,,,,,,,,,,13,50,266,7,,2025,148
2,February,CLOVER,29,,2241,207,589,0,2693,58,,,,985,1846,100,13,1,1,7,2,170,10,5,56,46,,,,,,,,,,,,,,,,,,,,,,,8,35,60,0,,2025,46
2,February,FORT MILL,208,,11414,686,1730,14,17829,27,,,,1641,5960,282,23,6,7,14,4,683,66,93,116,154,,,,,,,,,,,,,,,,,,,,,,,5,16,221,0,,2025,314
2,February,LAKE WYLIE,54,,3403,193,992,11,4250,12,,,,1347,2470,62,5,4,2,13,0,52,47,8,118,0,,,,,,,,,,,,,,,,,,,,,,,11,4,86,5,,2025,115
2,February,YORK,36,,3286,409,975,5,3430,96,,,,1192,2195,218,7,3,1,8,1,73,68,5,67,20,,,,,,,,,,,,,,,,,,,,,,,2,18,87,2,,2025,40
2,February,OUTREACH / BOOKMOBILE,24,,13867,,,,1764,4,,,,15,421,,4,0,0,0,0,104,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0,8,58,0,,2025,
1,January,ROCK HILL,,181,13105,1617,3059,2,14481,136,,7,105,,,749,22,5,5,18,8,913,99,47,137,364,,,,,,,,,,,,,,,,,,,,,,,47,9,48,9,,2025,199
1,January,CLOVER,,27,2152,216,457,1,2594,62,,,,,,190,10,2,2,4,2,119,25,11,27,75,,,,,,,,,,,,,,,,,,,,,,,7,38,27,0,,2025,36
1,January,FORT MILL,,202,10010,679,1570,6,18615,28,,,,,,160,30,5,5,10,4,867,63,47,85,184,,,,,,,,,,,,,,,,,,,,,,,5,0,0,0,,2025,324
1,January,LAKE WYLIE,,46,3150,138,742,9,4442,16,,,,,,87,1,2,2,10,0,8,6,4,105,0,,,,,,,,,,,,,,,,,,,,,,,7,1,9,2,,2025,74
1,January,YORK,,56,3430,395,457,3,3551,104,,,,,,575,10,2,2,9,0,146,56,15,91,0,,,,,,,,,,,,,,,,,,,,,,,2,4,16,3,,2025,58
1,January,OUTREACH / BOOKMOBILE,,7,625,,,,1342,4,,,,,,,3,0,0,0,0,96,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,1,1,1,0,,2025,
7,July,OUTREACH / BOOKMOBILE,13,6,1251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,246,,,1,,2025,
7,July,CLOVER,34,12,3515,245,477,1,,,,,,,,,10,3,7,5,6,114,39,39,36,126,,,,,,,,,,,,,,,,,,,,,1,,4,14,15.8,,,2025,87
7,July,FORT MILL,252,76,15128,772,2086,,,,,,,,,,24,6,8,12,14,731,148,269,117,803,,1,,,,,,,,,,,,,,,,,,,,,4,9,10,,,2025,674
7,July,LAKE WYLIE,67,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,257
7,July,ROCK HILL,223,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,413
7,July,ROCK HILL,,,20248,2158,3826,20,33792,141,27,,123,7,,2011,12,6,21,21,13,547,226,398,192,1385,,4,,,,,1602,,,,,2,,,,,10,,,,,,374,20,27.5,8,,2025,
7,July,YORK,65,21,4771,471,724,0,6285,105,,,,,,1125,11,3,6,7,4,202,93,57,53,249,,,,,,,,,,,,,,,,,,,,,,,95,7,6,0,,2025,81
6,June,ROCK HILL,349,,19413,2046,10094,9,21648,151,,2,137,3102,1021,697,13,4,23,22,19,629,92,289,202,1912,,,,,,,,,,,,,,,,,,,,,,,8,15,14,5,,2025,
6,June,CLOVER,62,,3404,222,490,0,4678,70,,,,1359,1968,208,10,3,4,4,4,130,45,25,21,125,,,,,,,,,,,,,,,,,,,,,,,8,1,21,1,,2025,
6,June,FORT MILL,265,,14653,766,1871,1,23998,38,,,,1847,7156,274,22,5,9,12,16,679,129,113,83,1121,,,,,,,,,,,,,,,,,,,,,,,4,1,12,0,,2025,
6,June,LAKE WYLIE,137,,5355,214,891,5,6109,22,,,,1568,3167,141,4,12,2,11,5,45,623,20,92,23,,,,,,,,,,,,,,,,,,,,,,,9,1,16,8,,2025,
6,June,YORK,82,,4774,447,1015,1,5010,120,,,,1501,2669,242,10,2,3,7,4,246,60,20,99,332,,,,,,,,,,,,,,,,,,,,,,,2,10,7,0,,2025,
6,June,OUTREACH / BOOKMOBILE,235,,1346,,,,1498,4,,,,21,309,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,3,1,4,2,,2025,
